Year,Consumer price index (2010 = 100),Wholesale price index (2010 = 100)
1970,13.9328980444199,3.07041698588173
1971,14.8048761858901,1.96854651108559
1972,15.8737526172419,1.50941191159564
1973,17.0551423572816,1.43266508706953
1974,18.6608010317704,1.34225745795554
1975,20.8454344398994,1.26425880402781
1976,22.7581606855787,1.17048400179868
1977,24.816216621542,19.4366492686007
1978,26.8391121485067,20.2218084416164
1979,28.1166070062605,21.6744660470229
1980,31.1802506374812,24.5684677250834
1981,35.4323160905275,27.1524786057286
1982,39.4616989537408,29.4627019937659
1983,42.7808415566248,31.3746890289194
1984,45.4670967986108,33.5468873173777
1985,48.0431827594988,35.1669852075196
1986,51.4959349164746,33.9722761488675
1987,55.9894351775189,35.1896122730243
1988,59.7398787965438,36.8074474566155
1989,62.4612944475988,38.7827902751823
1990,65.030348326631,40.325956142608
1991,67.2548301981651,41.2808183069093
1992,68.8300165181556,41.0998017828713
1993,70.3934827018365,40.6925146037854
1994,71.3779741518306,41.217462523496
1995,73.131306543725,42.2741464825691
1996,74.0518060494694,43.1928053420628
1997,75.9628914760886,43.7833717517374
1998,77.6763754045307,44.0390575919414
1999,79.4886731391586,45.3921561091268
2000,81.9417475728155,48.5418436273913
2001,84.4142394822006,47.1180681956073
2002,85.5016181229773,45.5527241839583
2003,87.6181229773463,47.1949197103911
2004,88.0258899676375,52.7363184079602
2005,89.3656957928802,61.4488532945031
2006,91.4498381877023,69.3402904178294
2007,92.1165048543689,69.3079318852892
2008,95.5857605177993,85.1514783804553
2009,97.6569579288023,84.5002629130771
2010,100,100
2011,101.300970873786,116.304655583869
2012,102.019417475728,119.508150305384
2013,104.194174757282,120.264531003519
2014,106.304207119741,118.589976944546
2015,108.614886731392,108.934999797759
2016,7,39.5
